"code","song_code","artist","title","year","genre","subgenre","tempo (BPM)","key","energetics","instrumentation_groups","instrumentation","language","explicit_new","lyrics timeframe","timestamp_start","timestamp_end","duration_sec","url_excerpt"
"K_Bartok_Sonata2","K050","Bartok","Sonata 2 pianos percussion","1937","Klassik","Expressionismus","NotGiven","B","mittel","instrumental","Instrumental, Piano und Schlagzeug",NA,NA,NA,"00:20:55","00:21:42",47,NA
"K_Beethoven_9Sympho","K031","Beethoven","9. Symphonie, 2. Satz (Toscanini)","1824","Klassik","Klassik","123","Dm","mittel-hoch","instrumental","Instrumental, Orchester",NA,NA,NA,"00:15:49","00:16:18",29,"https://www.youtube.com/embed/DuK133dK6eQ?start=949&end=978&autoplay=1"
"K_Beethoven_Mondsch","K030","Beethoven","Mondscheinsonate","1801","Klassik","Klassik","130 (3/4)","Abm","niedrig","instrumental","Instrumental, Klavier",NA,NA,NA,"00:03:35","00:04:20",45,"https://www.youtube.com/embed/4Tr0otuiQuU?start=215&end=260&autoplay=1"
"K_Beethoven_SinfNr6","K041","Beethoven","Sinfonie Nr. 6","1808","Klassik","Kassik","131","F","niedrig-mittel","instrumental","Instrumental, Orchester",NA,NA,NA,"00:13:43","00:14:11",28,"https://youtu.be/aW-7CqxhnAQ?t=13m43s"
"K_Beethoven_SinfNr7","K114","Beethoven","Sinfonie Nr. 7","1812","Klassik","Klassik","125","Em","mittel","instrumental","Instrumental, Orchester",NA,NA,NA,"00:15:29","00:16:13",44,"https://www.youtube.com/embed/7MqrBauptrE?start=929&end=973&autoplay=1"
"K_Beethoven_SinfNr9","K070","Beethoven","Sinfonie Nr. 9","1824","Klassik","Klassik","NotGiven (~125)","Gm","mittel","instrumental","Instrumental, Orchester",NA,NA,NA,"00:35:25","00:35:55",30,"https://youtu.be/t3217H8JppI?t=35m25s"
"K_Beethoven_SonateN","K057","Beethoven","Sonate Nr. 8, 2. Satz","1799","Klassik","Klassik","130","Eb","niedrig-mittel","instrumental","Instrumental, Solo",NA,NA,NA,"00:00:18","00:01:15",57,"https://www.youtube.com/embed/ly1iTD0zB1Y?start=18&end=75&autoplay=1"
"K_Beethoven_Symphon","K033","Beethoven","Symphony No.5 in C minor Op.67","1808","Klassik","Klassik","NotGiven( 4/4)","Cm","niedrig-mittel","instrumental","Instrumental, Solo",NA,NA,NA,"00:02:22","00:03:10",48,"https://www.youtube.com/embed/-VVXqNt4qU0?start=142&end=190&autoplay=1"
"K_Beethoven_Violine","K069","Beethoven","Violinensonate Nr. 5 ""Frühlingssonate""","1802","Klassik","Klassik","126","C","niedrig-mittel","instrumental","Instrumental, Ensemble",NA,NA,NA,"00:00:00","00:00:50",50,"https://www.youtube.com/embed/-rIwQx7QfyI&t=50s?start=0&end=50&autoplay=1"
"K_Berg_Quartet","K103","Berg","Quartett, op. 3","1920","Klassik","Moderne/freie Tonalität","155","Gm","mittel-hoch","instrumental","Instrumental, Ensemble",NA,NA,NA,"00:10:20","00:11:20",60,"https://www.youtube.com/embed/xqAU4SKqjLU?start=620&end=680&autoplay=1"
"K_Bizet_CarmenH","K058","Bizet","Carmen (Habanera)","1875","Klassik","Romantik","111 (3/4)","F#m","mittel","instrumental + vocal","Vokal, Orchester","fr",NA,"L’amour est enfant de Bohême. Il n’a jamais jamais connu de loi. Si tu ne m’aimes pas, je t’aime. Si je t’aime, prends garde à toi! Si tu ne m’aimes pas, si tu ne m’aimes pas, je t’aime. Mais si je t’aime, si je t’aime, prends garde à toi!","00:00:57","00:01:37",40,"https://www.youtube.com/embed/OiHsWXRB5OA?start=57&end=97&autoplay=1"
