,,,,,SONG INFO,,,,,,,,,GEMS-DIMENSIONS,,,,,,,,,GEMS-FACTORS,,,,the differentiation of the ratings (indicates how many different items per dimension where used),,,,,,,,,,,,,ICC based on all participants,,,,,
Code,MP3-Code,package,num. Of raters,follow up,Title,Artist,feat.,Year,Genre,Subgenre,Articles,liking,familiarity,wonder,transcendece,tenderness,nostalgia,peacefulness,sadness,tension,energy,joyful activation,sublimity,vitality,unease,,wond_diff,tran_diff,tend_diff,nost_diff,peac_diff,sadn_diff,tens_diff,ener_diff,joya_diff,sublimity_diff,vitality_diff,unease_diff,,ICC_SEL_47_BOTH,ICC_SEL_45_BOTH,ICC_INT_47_BOTH,ICC_INT_45_BOTH,ICC_DIM_BOTH,ICC_FAC_BOTH
K089,K_Casella_Italia,29,37,0,Italia,Casella,NA,1909,Klassik,Moderne,,3.08,2.08,9.21,8.14,2.85,4.49,14.48,0.00,5.49,19.34,21.16,20.04,25.25,5.13,,0.07,0.05,0.02,0.03,0.11,0.00,0.04,0.15,0.19,0.06,0.17,0.02,,0.69,0.70,0.67,0.68,0.88,0.93
K090,K_Tschaikowski_4Sinf,29,37,1,4. Sinfonie,Tschaikowski,NA,1878,Klassik,Romantik,,2.68,1.73,6.34,11.59,2.51,1.32,4.82,2.22,12.07,25.45,6.47,15.83,22.56,12.09,,0.05,0.08,0.01,0.01,0.03,0.02,0.09,0.23,0.05,0.04,0.13,0.06,,0.79,0.79,0.79,0.80,0.88,0.65
K091,K_StraussJ_Chit-Ch,30,25,0,"Chit-Chat-Polka, op. 214","Strauss, J.",NA,1858,Klassik,Romantik,GEMS_2008,3.24,2.24,10.78,5.59,2.95,5.80,11.29,0.00,10.40,20.03,29.48,18.45,27.95,9.40,,0.09,0.05,0.02,0.05,0.06,0.00,0.07,0.17,0.26,0.06,0.22,0.05,,0.75,0.75,0.74,0.73,0.87,0.83
K092,K_Skrjabin_Prelude15,30,25,0,Preludes op. 11 no. 15,Skrjabin,NA,1896,Klassik,Impressionismus,,3.24,1.32,13.44,12.19,12.69,19.72,34.74,4.56,0.84,1.93,6.51,30.06,7.72,3.96,,0.10,0.09,0.09,0.22,0.34,0.09,0.02,0.02,0.03,0.16,0.02,0.05,,0.81,0.81,0.80,0.81,0.92,0.96
K093,K_Vivaldi_4JahrFr,31,20,0,Die 4 Jahreszeiten (Frühling),Vivaldi,NA,1725,Klassik,Barock,GEMS_2008,2.8,3.4,12.66,9.93,4.22,18.79,12.24,1.43,6.82,18.26,17.16,21.75,25.08,6.76,,0.11,0.08,0.04,0.19,0.10,0.03,0.06,0.14,0.13,0.10,0.13,0.05,,0.41,0.40,0.42,0.42,0.59,0.83
K094,,31,20,0,"6. Sinfonie, 1. Satz",Mahler,NA,1906,Klassik,Romantik,,2.8,1.35,17.08,11.32,17.80,28.67,35.69,1.03,6.87,0.00,7.94,33.65,7.39,6.23,,0.14,0.09,0.15,0.23,0.31,0.03,0.06,0.00,0.05,0.18,0.03,0.05,,0.74,0.75,0.79,0.80,0.90,0.96
K096,K_Rachmaninow_Prelude,32,23,1,Preludes op. 32 no. 5,Rachmaninow,NA,1910,Klassik,Romantik,,3.26,1.09,14.91,8.92,20.78,23.88,39.56,2.67,0.00,0.00,7.12,32.52,6.52,2.25,,0.11,0.05,0.14,0.20,0.41,0.03,0.00,0.00,0.04,0.17,0.02,0.01,,0.87,0.88,0.86,0.86,0.93,0.97
K097,K_Vivaldi_4JahrSo,32,23,0,Die 4 Jahreszeiten (Sommer),Vivaldi,NA,1725,Klassik,Barock,,3.22,1.78,14.78,16.72,12.65,13.84,20.85,8.45,5.98,4.10,6.16,26.63,6.03,10.80,,0.09,0.10,0.10,0.12,0.22,0.10,0.04,0.02,0.03,0.12,0.02,0.07,,0.60,0.58,0.55,0.55,0.59,0.91
K098,K_Elgar_Pompand,33,27,0,Pomp and Circumstance (1. Marsch),Elgar,NA,1902,Klassik,Romantik,,3.07,1.78,13.84,12.71,2.16,2.13,3.09,0.00,11.10,25.00,24.69,20.91,31.68,10.20,,0.12,0.07,0.02,0.02,0.02,0.00,0.09,0.28,0.18,0.06,0.23,0.06,,0.78,0.77,0.78,0.78,0.89,0.92
K099,K_Mozart_GranPar,33,27,0,"Gran Partita, 3. Satz",Mozart,NA,1781,Klassik,Klassik,,3,1.41,15.42,8.29,16.16,13.00,29.82,5.05,5.47,1.91,2.79,28.06,4.34,8.46,,0.09,0.06,0.12,0.11,0.28,0.09,0.05,0.01,0.01,0.13,0.01,0.07,,0.79,0.78,0.76,0.76,0.87,0.94
K101,K_Dvorak_9Sinf4S,34,32,0,"9. Sinfonie, 4. Satz",Dvorák,NA,1893,Klassik,Romantik,,3.09,1.88,16.33,14.27,0.00,9.02,7.48,3.10,12.03,29.53,14.33,20.84,27.92,11.33,,0.10,0.10,0.00,0.06,0.06,0.04,0.12,0.33,0.11,0.07,0.21,0.09,,0.82,0.82,0.83,0.84,0.89,0.90
K102,K_Ravel_Bolero,34,33,0,Boléro,Ravel,NA,1928,Klassik,Impressionismus,,2.76,2.49,5.61,10.37,7.47,8.20,10.94,0.00,5.26,15.83,12.67,17.04,18.54,4.87,,0.05,0.07,0.04,0.07,0.10,0.00,0.04,0.13,0.12,0.06,0.12,0.02,,0.59,0.59,0.50,0.49,0.68,0.88
K103,K_Berg_Quartet,34,33,0,"Quartett, op. 3",Berg,NA,1920,Klassik,Moderne/freie Tonalität,,1.85,1.3,8.83,10.58,3.58,2.33,2.78,1.10,34.79,3.40,7.74,13.22,8.76,30.17,,0.06,0.07,0.02,0.02,0.02,0.03,0.36,0.02,0.06,0.04,0.04,0.24,,0.87,0.87,0.88,0.89,0.95,0.93
K106,K_Mozart_DonGiov,35,31,0,"Don Giovanni, ""La ci darem la mano""",Mozart,NA,1787,Klassik,Klassik,,2.55,1.36,6.13,9.11,19.87,13.83,20.40,5.16,8.73,1.22,6.76,23.94,7.33,12.18,,0.04,0.04,0.14,0.10,0.19,0.03,0.10,0.01,0.05,0.10,0.03,0.07,,0.68,0.64,0.69,0.67,0.76,0.83
K107,K_CarlOrff_OFortun,35,31,0,O Fortuna (Carmina Burana),Carl Orff,NA,1937,Klassik,Moderne,,3.61,3.65,15.48,20.47,4.47,10.49,5.65,0.00,7.89,47.34,26.81,23.87,42.42,7.28,,0.11,0.14,0.03,0.07,0.03,0.00,0.09,0.43,0.17,0.08,0.29,0.06,,0.86,0.86,0.89,0.89,0.95,0.97
K108,K_StraussR_Rosenka,35,31,0,"Rosenkavalier, Act 1","Strauss, R.",NA,1911,Klassik,Romantik,,2.58,1.29,14.40,13.95,13.88,16.11,18.35,9.09,9.31,2.50,1.17,25.73,2.25,15.60,,0.08,0.09,0.11,0.11,0.17,0.11,0.08,0.02,0.01,0.11,0.01,0.09,,0.66,0.59,0.60,0.49,0.70,0.93
K109,K_Vivaldi_4JahrHe,36,27,0,Die 4 Jahreszeiten (Herbst),Vivaldi,NA,1725,Klassik,Barock,,2.7,1.85,16.38,10.55,5.85,11.79,15.56,3.24,6.34,7.44,12.83,21.49,14.05,8.56,,0.14,0.10,0.04,0.08,0.11,0.03,0.07,0.06,0.14,0.10,0.10,0.06,,0.41,0.34,0.46,0.30,0.58,0.81
K110,K_Debussy_Despass,36,27,0,Des pas sur la neige,Debussy,NA,1910,Klassik,Impressionismus,,2.89,1.26,13.69,9.63,11.03,24.09,22.89,15.17,1.77,0.00,6.03,24.58,5.64,11.70,,0.09,0.11,0.12,0.27,0.22,0.17,0.04,0.00,0.03,0.15,0.01,0.09,,0.73,0.73,0.70,0.70,0.86,0.91
K111,K_Puccini_Messadi,36,27,0,Messa di Gloria,Puccini,NA,1880,Klassik,Romantik,,2.63,1.33,13.29,8.93,5.60,5.10,9.25,0.00,2.91,13.21,9.78,16.57,14.53,2.59,,0.09,0.11,0.04,0.06,0.07,0.00,0.04,0.14,0.09,0.08,0.11,0.03,,0.60,0.55,0.57,0.44,0.67,0.87
K112,K_Bach_Branden,37,29,0,Brandenburgische Konzerte,Bach,NA,1721,Klassik,Klassik,,2.76,1.66,12.33,18.21,8.26,9.38,11.53,0.44,10.49,19.34,17.07,24.84,23.11,10.02,,0.09,0.11,0.05,0.07,0.08,0.01,0.08,0.15,0.13,0.08,0.14,0.05,,0.39,0.37,0.40,0.39,0.64,0.79
K113,K_Chopin_WaltzOp,37,29,0,Waltz Op. 69 No. 2,Chopin,NA,1852,Klassik,Romantik,,2.97,1.45,13.78,8.30,16.70,18.30,30.39,0.00,5.09,3.87,14.76,32.46,15.62,4.77,,0.08,0.05,0.11,0.11,0.26,0.00,0.03,0.03,0.10,0.12,0.07,0.02,,0.73,0.73,0.71,0.72,0.86,0.94
K114,K_Beethoven_SinfNr7,37,29,0,Sinfonie Nr. 7,Beethoven,NA,1812,Klassik,Klassik,,2.72,1.45,9.37,11.99,11.99,19.57,33.13,8.41,2.96,6.39,4.22,31.08,6.60,8.56,,0.05,0.06,0.07,0.11,0.27,0.09,0.01,0.04,0.02,0.11,0.03,0.04,,0.79,0.76,0.76,0.73,0.87,0.94
P001,P_Gorillaz_Feelgoo,1,13,0,Feel good Inc.,Gorillaz,NA,2005,Pop,NA,,4.23,3.08,37.21,15.21,15.52,10.96,17.74,0.00,4.43,14.22,27.93,35.47,26.59,4.15,,0.21,0.06,0.11,0.10,0.11,0.00,0.03,0.08,0.14,0.12,0.11,0.02,,0.58,0.56,0.64,0.63,0.78,0.92
P002,P_Jamiroquai_Virtual,1,13,0,Virtual Insanity,Jamiroquai,NA,1996,Pop,NA,,4.15,2.46,36.82,6.42,11.30,18.51,14.95,0.62,0.00,22.85,29.33,33.78,37.33,0.52,,0.18,0.03,0.08,0.10,0.12,0.03,0.00,0.11,0.22,0.10,0.17,0.01,,0.64,0.63,0.62,0.62,0.84,0.97
P003,P_JoseGonzales_Heartbe,1,12,0,Heartbeats,Jose Gonzales,NA,2003,Pop,NA,,4.33,2.58,30.06,12.30,33.08,27.53,34.47,6.22,0.00,5.80,0.00,35.84,4.90,5.25,,0.15,0.07,0.28,0.27,0.30,0.08,0.00,0.07,0.00,0.21,0.03,0.03,,0.67,0.66,0.67,0.66,0.89,0.94
P004,P_Aerosmith_IDontWa,1,12,0,I Don't Want To Miss A Thing,Aerosmith,NA,1998,Pop,NA,,4.25,3.58,24.51,12.22,28.84,36.26,26.52,8.51,4.45,18.80,26.61,39.26,26.10,7.60,,0.13,0.07,0.18,0.29,0.17,0.11,0.02,0.08,0.15,0.16,0.12,0.05,,0.50,0.48,0.48,0.46,0.68,0.91
P005,P_Sugababes_PushThe,2,11,0,Push The Button,Sugababes,NA,2005,Pop,NA,,3.91,3.46,27.58,9.27,7.53,15.57,7.20,4.61,10.56,25.47,36.61,34.85,37.38,13.73,,0.14,0.06,0.06,0.11,0.04,0.03,0.07,0.13,0.24,0.08,0.19,0.06,,0.42,0.43,0.48,0.50,0.70,0.82
P006,P_Boy_LittleN,2,12,0,Little Numbers,Boy,NA,2011,Pop,NA,,3.75,1.92,34.74,18.70,15.95,11.83,19.30,2.33,0.00,8.40,32.87,35.74,30.46,1.97,,0.17,0.13,0.15,0.10,0.10,0.03,0.00,0.05,0.21,0.13,0.14,0.01,,0.44,0.42,0.45,0.43,0.82,0.95
P007,P_NeilDiamind_SweetCa,2,12,0,Sweet Caroline,Neil Diamind,NA,1969,Pop,Softrock,,3.92,4,23.01,13.90,13.54,18.33,4.10,0.00,0.00,11.05,32.87,33.70,30.61,0.00,,0.10,0.06,0.15,0.10,0.02,0.00,0.00,0.05,0.19,0.08,0.13,0.00,,0.48,0.46,0.43,0.42,0.74,0.95
P008,P_EltonJohn_YourSon,2,11,0,Your Song,Elton John,NA,1970,Pop,NA,,4.36,4.27,23.58,13.15,19.06,25.84,26.65,0.00,0.87,15.10,25.86,39.48,29.23,0.82,,0.11,0.05,0.13,0.16,0.18,0.00,0.02,0.09,0.12,0.12,0.11,0.01,,0.41,0.40,0.42,0.41,0.58,0.95
P009,P_LadyGaga_Pokerfa,3,34,0,Pokerface,Lady Gaga,NA,2008,Pop,NA,,3.74,4.47,13.90,8.10,0.00,19.12,6.92,0.00,1.92,26.87,44.81,28.92,42.03,1.80,,0.06,0.03,0.00,0.11,0.04,0.00,0.02,0.18,0.40,0.05,0.30,0.01,,0.92,0.92,0.92,0.92,0.95,0.98
P010,P_Madonna_DontTel,3,33,0,Don't Tell Me,Madonna,NA,2000,Pop,NA,,2.85,2.3,5.92,4.77,6.18,11.06,16.06,0.00,7.95,5.36,18.19,21.06,17.90,7.15,,0.03,0.03,0.04,0.08,0.10,0.00,0.07,0.04,0.12,0.05,0.09,0.05,,0.63,0.58,0.60,0.50,0.79,0.84
P011,P_BrettDennen_ShesMin,3,33,0,She's Mine,Brett Dennen,NA,2006,Pop,Alternativ/ Indie,,3.18,1.33,12.95,5.15,18.65,14.44,27.84,0.71,6.10,2.51,18.69,27.83,17.46,6.25,,0.08,0.04,0.16,0.16,0.25,0.01,0.04,0.02,0.17,0.13,0.10,0.03,,0.78,0.79,0.77,0.78,0.89,0.91
P012,P_LittleBigTown_GirlCru,3,33,0,Girl Crush,Little Big Town,NA,2014,Pop,Country,,3.24,1.88,12.17,6.12,24.86,16.34,16.25,13.30,3.91,5.80,8.47,24.52,9.62,14.12,,0.10,0.03,0.21,0.16,0.16,0.12,0.02,0.03,0.05,0.13,0.04,0.06,,0.72,0.73,0.67,0.68,0.75,0.81
P013,P_RobinSchulz_Sugar,4,27,0,Sugar,Robin Schulz,NA,2015,Pop,NA,,3.22,3.48,10.91,4.89,6.27,8.66,14.24,0.00,5.30,24.06,32.13,16.47,31.75,4.95,,0.07,0.03,0.05,0.08,0.12,0.00,0.05,0.17,0.36,0.07,0.28,0.03,,0.87,0.87,0.85,0.86,0.90,0.93
P014,P_JeremyKay_HaveItA,4,27,0,Have It All,Jeremy Kay,NA,2002,Pop,Singer-Songwriter,,3.37,1.41,14.66,8.48,25.08,13.82,18.93,6.05,1.31,10.51,17.71,27.76,20.29,5.98,,0.11,0.04,0.23,0.14,0.15,0.07,0.01,0.07,0.16,0.13,0.12,0.03,,0.57,0.57,0.55,0.55,0.80,0.94
P015,P_Keane_Everybo,4,28,0,Everybodys Changing,Keane,NA,2004,Pop,"Britpop, Alternative/Indie",,3.54,2.79,14.13,12.16,8.60,19.67,20.89,9.20,1.05,5.65,20.68,31.91,19.72,7.68,,0.09,0.05,0.07,0.19,0.21,0.11,0.01,0.05,0.16,0.12,0.11,0.05,,0.69,0.69,0.63,0.62,0.75,0.94
P016,P_Enya_OnlyTim,4,27,0,Only Time,Enya,NA,2000,Pop,NA,,3.78,4.26,14.68,20.63,18.75,26.33,29.92,13.24,1.27,10.16,10.39,32.69,15.48,10.89,,0.10,0.20,0.16,0.30,0.30,0.17,0.02,0.07,0.06,0.20,0.06,0.07,,0.68,0.68,0.66,0.65,0.82,0.92
P017,P_KatieTunstall_Suddenl,5,28,0,Suddenly I See,Katie Tunstall,NA,2004,Pop,NA,,3.86,3.46,22.43,9.34,13.44,14.36,13.36,0.00,1.03,19.93,42.07,26.90,39.44,0.96,,0.12,0.05,0.08,0.15,0.10,0.00,0.01,0.12,0.42,0.10,0.29,0.00,,0.87,0.87,0.86,0.87,0.92,0.98
P018,P_BrunoMars_Grenade,5,28,0,Grenade,Bruno Mars,NA,2010,Pop,NA,,3.5,4.61,16.52,9.86,14.78,21.86,8.39,6.09,5.96,16.17,31.77,28.81,28.84,10.34,,0.10,0.07,0.08,0.23,0.07,0.10,0.04,0.11,0.26,0.10,0.19,0.06,,0.70,0.71,0.68,0.70,0.82,0.91
P019,P_Macklemore_SameLov,5,28,0,Same Love,Macklemore,NA,2013,Pop,Rap,,3.54,3,24.90,11.42,19.48,23.38,18.97,4.18,2.84,7.70,19.17,29.68,19.95,5.38,,0.17,0.07,0.19,0.25,0.13,0.06,0.04,0.05,0.13,0.16,0.09,0.05,,0.72,0.71,0.69,0.70,0.84,0.95
P020,P_Magic_LetYour,5,28,0,Let Your Hair Down,Magic!,NA,2014,Pop,NA,,2.46,1.32,10.35,6.92,18.00,13.63,23.03,0.00,7.93,5.01,11.62,22.40,13.82,7.37,,0.06,0.03,0.19,0.13,0.23,0.00,0.05,0.02,0.06,0.12,0.04,0.03,,0.73,0.73,0.68,0.68,0.78,0.78
P025,P_EltonJohn_DontGoB,7,30,0,Don't Go Breaking My Heart,Elton John,NA,1993,Pop,NA,,3.8,3.53,25.66,11.04,6.42,15.84,21.24,0.00,4.40,18.97,45.85,35.04,40.42,4.13,,0.11,0.05,0.03,0.13,0.13,0.00,0.03,0.10,0.43,0.09,0.28,0.02,,0.89,0.89,0.89,0.89,0.94,0.98
P026,P_Weeknd_Starboy,7,30,0,Starboy,The Weeknd,NA,2016,Pop,R&B,,3.27,3.4,21.36,11.14,12.89,10.58,14.75,4.36,10.23,10.27,24.65,27.16,25.12,12.99,,0.10,0.06,0.09,0.08,0.09,0.04,0.09,0.06,0.21,0.09,0.14,0.07,,0.63,0.64,0.65,0.65,0.68,0.80
P027,P_AllAmericanRejects_FallinA,7,30,0,Fallin Apart,All American Rejects,NA,2008,Pop,"Emo/Hardcore, Alternative/Indie, Rock",,3.43,1.77,16.70,9.99,6.00,5.73,15.80,0.00,5.39,24.20,35.79,22.22,35.99,4.97,,0.08,0.04,0.03,0.04,0.10,0.00,0.03,0.16,0.30,0.06,0.24,0.02,,0.82,0.83,0.81,0.82,0.92,0.96
P028,P_BonIver_SkinnyL,7,30,0,Skinny Love,Bon Iver,NA,2008,Pop,Indie Folk,,3.53,2.9,26.05,15.27,19.20,38.12,31.72,8.88,2.18,5.19,16.93,37.04,15.68,7.33,,0.16,0.10,0.13,0.38,0.26,0.10,0.01,0.03,0.11,0.19,0.08,0.05,,0.82,0.81,0.80,0.80,0.92,0.96
P029,P_KatiePerry_IKissed,8,31,0,I Kissed A Girl,Katie Perry,NA,2008,Pop,NA,,3.87,4.29,19.51,7.41,4.00,15.31,9.39,1.03,5.03,27.15,39.79,28.45,37.08,4.73,,0.08,0.03,0.04,0.11,0.05,0.01,0.03,0.22,0.40,0.06,0.32,0.02,,0.90,0.90,0.90,0.90,0.93,0.95
P030,P_BrettDennen_CloserT,8,32,0,Closer To You,Brett Dennen,NA,2008,Pop,Rock,,3.19,1.59,10.87,3.76,15.44,16.49,27.60,4.99,4.28,4.07,7.30,27.22,9.33,7.85,,0.05,0.02,0.13,0.16,0.26,0.06,0.03,0.02,0.05,0.11,0.04,0.04,,0.78,0.78,0.77,0.77,0.86,0.93
P031,P_AnnenMayKantereit_WohinDu,8,32,0,Wohin Du Gehst,AnnenMayKantereit,NA,2016,Pop,Alternativ,,3.25,2.38,11.70,7.82,3.23,17.44,8.68,1.49,6.03,20.84,23.64,22.22,27.00,6.63,,0.05,0.04,0.03,0.20,0.04,0.03,0.06,0.17,0.25,0.06,0.21,0.05,,0.73,0.74,0.74,0.76,0.83,0.89
P032,P_TracyChapman_FastCar,8,31,0,Fast Car,Tracy Chapman,NA,1988,Pop,NA,,3.65,3.52,14.64,12.49,21.23,30.16,32.59,5.37,2.26,2.19,12.66,33.14,11.53,6.35,,0.09,0.06,0.17,0.27,0.27,0.05,0.04,0.01,0.07,0.16,0.04,0.04,,0.81,0.82,0.81,0.82,0.91,0.95
P033,P_LeslieClio_ICouldn,9,26,0,I Couldnt Care Less,Leslie Clio,NA,2013,Pop,NA,,3.08,2.54,11.74,3.14,6.85,1.01,14.96,0.00,5.22,11.97,26.02,19.72,25.56,4.89,,0.05,0.02,0.04,0.02,0.09,0.00,0.02,0.08,0.23,0.04,0.16,0.01,,0.75,0.75,0.75,0.75,0.85,0.88
P034,P_Shakira_HipsDon,9,26,1,Hips Don't Lie,Shakira,NA,2005,Pop,NA,,4,4.54,18.90,4.11,8.79,13.53,13.18,0.00,4.59,22.17,43.73,28.60,38.28,4.31,,0.07,0.02,0.06,0.09,0.06,0.00,0.02,0.12,0.39,0.06,0.27,0.01,,0.90,0.90,0.90,0.90,0.92,0.95
P035,P_AtomicKitten_WholeAg,9,27,0,Whole Again,Atomic Kitten,NA,2000,Pop,NA,,3.52,3.19,14.66,5.08,14.82,21.65,6.64,1.48,2.07,4.42,21.40,26.33,19.59,3.05,,0.07,0.03,0.12,0.19,0.05,0.03,0.02,0.02,0.12,0.08,0.07,0.02,,0.68,0.68,0.71,0.72,0.81,0.91
P036,P_Pink_WhoKnew,9,26,0,Who Knew,Pink,NA,2006,Pop,NA,,3.85,3.81,10.78,8.03,9.75,27.23,8.17,11.76,1.52,21.51,23.21,28.95,26.60,9.38,,0.07,0.03,0.05,0.22,0.07,0.13,0.01,0.12,0.17,0.08,0.15,0.05,,0.70,0.71,0.67,0.68,0.79,0.88
P037,P_BritneySpears_BabyOne,10,29,0,Baby One More Time,Britney Spears,NA,1998,Pop,NA,,3.59,4.31,14.45,9.22,11.52,16.06,9.88,4.64,8.15,19.64,27.08,26.04,30.08,10.44,,0.07,0.04,0.06,0.11,0.08,0.07,0.06,0.12,0.22,0.07,0.18,0.06,,0.73,0.74,0.69,0.69,0.71,0.86
P038,P_CarlosSantana_Smooth,10,28,0,Smooth,Carlos Santana,feat Rob Thomas,1999,Pop,Latin Pop,,3.54,3.5,12.39,0.77,8.63,6.46,5.58,0.00,4.67,18.06,33.43,20.87,32.52,4.30,,0.07,0.01,0.06,0.06,0.04,0.00,0.03,0.12,0.28,0.05,0.21,0.02,,0.83,0.84,0.82,0.82,0.92,0.95
P039,P_LeonBridges_River,10,28,0,River,Leon Bridges,NA,2015,Pop,"R&B, Soul",,3.39,1.93,15.74,11.00,19.33,17.26,24.42,2.55,2.06,3.39,8.78,31.44,8.47,4.08,,0.08,0.08,0.16,0.13,0.23,0.02,0.01,0.01,0.05,0.13,0.04,0.02,,0.70,0.71,0.66,0.67,0.85,0.97
P040,P_Beatles_Strawbe,10,29,0,Strawberry Fields Forever,The Beatles,NA,1967,Pop,NA,,3.24,2.86,14.29,9.54,24.80,22.09,25.07,2.28,5.99,2.17,6.33,30.99,6.87,7.47,,0.08,0.05,0.18,0.21,0.21,0.02,0.03,0.01,0.07,0.13,0.04,0.03,,0.77,0.77,0.75,0.75,0.87,0.95
P041,P_PanicattheDisco_NineInT,11,28,0,Nine In The Afternoon,Panic! at the Disco,NA,2008,Pop,NA,,3.5,2.29,16.45,11.00,12.88,14.35,10.44,2.38,4.71,14.47,27.94,28.83,26.20,6.43,,0.10,0.06,0.10,0.10,0.09,0.01,0.03,0.09,0.22,0.09,0.16,0.02,,0.56,0.57,0.45,0.48,0.76,0.92
P042,P_ArcticMonkeys_Fluores,11,28,0,Fluorescent Adolescent,Arctic Monkeys,NA,2007,Pop,Indie,,3.96,3.07,28.37,5.46,5.36,11.71,12.31,2.21,1.20,14.54,38.62,27.26,35.32,2.95,,0.13,0.03,0.03,0.10,0.08,0.01,0.02,0.08,0.32,0.07,0.21,0.02,,0.87,0.88,0.86,0.87,0.94,0.97
P043,P_PuffDaddy_IllBeMi,11,28,0,I'll Be Missing You,Puff Daddy,NA,1997,Pop,R&B,,4.07,4.43,22.25,12.96,14.52,28.78,13.13,12.15,3.64,5.81,19.48,34.37,19.84,11.39,,0.13,0.07,0.10,0.24,0.11,0.16,0.04,0.02,0.11,0.12,0.07,0.09,,0.63,0.61,0.59,0.58,0.74,0.91
P044,P_HeadAndHeart_RiversA,11,28,0,Rivers And Roads,The Head And The Heart,NA,2011,Pop,Neofolk,,3.32,1.75,16.12,7.59,20.46,30.34,21.59,18.88,0.71,1.44,7.30,31.83,6.69,15.25,,0.09,0.05,0.18,0.32,0.16,0.21,0.01,0.01,0.03,0.15,0.02,0.09,,0.79,0.80,0.71,0.73,0.88,0.95
P045,P_EdSheeran_ShapeOf,12,27,0,Shape Of You,Ed Sheeran,NA,2017,Pop,NA,,3.67,4.59,23.52,10.86,15.23,22.26,13.40,3.41,8.04,9.87,31.75,31.14,27.76,7.84,,0.11,0.05,0.10,0.19,0.07,0.03,0.04,0.04,0.30,0.10,0.18,0.04,,0.79,0.80,0.79,0.80,0.80,0.90
P046,P_BlackEyedPeas_JustCan,12,27,0,Just Can't Get Enough,Black Eyed Peas,NA,2010,Pop,NA,,2.85,2.59,6.28,8.30,9.32,13.07,12.88,0.67,2.99,4.80,17.26,23.66,16.81,2.75,,0.04,0.04,0.05,0.08,0.09,0.03,0.02,0.03,0.15,0.06,0.09,0.02,,0.51,0.51,0.46,0.44,0.65,0.89
P047,P_ChildishGambino_Redbone,12,27,0,Redbone,Childish Gambino,NA,2016,Pop,"Psychadelic Soul, Neo Soul",,3.11,2.67,7.07,7.60,15.99,15.85,13.89,2.20,9.36,3.91,17.91,26.06,18.58,9.91,,0.03,0.04,0.12,0.10,0.10,0.03,0.11,0.02,0.11,0.07,0.06,0.08,,0.56,0.56,0.57,0.55,0.59,0.75
P048,P_JohnnyCash_Hurt,12,27,0,Hurt,Johnny Cash,NA,2002,Pop,NA,,3.59,2.82,11.73,7.99,9.54,25.20,16.44,25.29,3.80,5.07,4.18,30.00,8.44,22.13,,0.06,0.06,0.08,0.26,0.13,0.30,0.02,0.03,0.03,0.11,0.03,0.13,,0.80,0.80,0.79,0.78,0.79,0.89
P049,P_BrunoMars_Treasur,13,31,0,Treasure,Bruno Mars,NA,2012,Pop,NA,,3.45,3.71,14.22,5.62,10.57,6.86,16.75,0.56,4.36,15.45,35.81,29.14,34.16,3.87,,0.07,0.03,0.08,0.05,0.09,0.01,0.04,0.10,0.30,0.06,0.21,0.03,,0.84,0.84,0.85,0.85,0.90,0.96
P050,P_StevieWonder_IWish,13,31,1,I Wish,Stevie Wonder,NA,1976,Pop,NA,,3.39,2.29,15.17,1.05,4.08,9.42,8.46,1.66,1.55,13.75,40.20,22.18,36.73,2.85,,0.07,0.01,0.03,0.06,0.05,0.01,0.01,0.11,0.39,0.04,0.26,0.01,,0.90,0.91,0.90,0.90,0.95,0.98
P051,P_Jackson5_WhosLov,13,31,0,Who's Lovin You,The Jackson 5,NA,1969,Pop,Soul,,3.55,2.19,17.63,8.47,20.39,23.84,23.22,4.80,0.00,4.78,14.63,34.75,13.91,4.05,,0.10,0.04,0.16,0.20,0.17,0.04,0.00,0.03,0.09,0.13,0.06,0.02,,0.70,0.70,0.68,0.68,0.86,0.97
P052,P_Moby_Porcela,13,31,0,Porcelain,Moby,NA,1999,Pop,NA,,3.03,2.48,13.41,9.14,12.56,18.49,20.43,0.00,0.74,3.63,10.45,29.84,10.07,0.69,,0.07,0.05,0.07,0.19,0.19,0.00,0.01,0.02,0.07,0.10,0.04,0.00,,0.73,0.73,0.68,0.67,0.83,0.97
P053,P_PharrellWilliams_Happy,14,44,1,Happy,Pharrell Williams,NA,2013,Pop,Pop,,3.73,4.5,20.40,5.28,3.38,7.88,18.11,0.00,3.83,22.07,44.53,26.68,40.07,3.44,,0.07,0.02,0.02,0.06,0.10,0.00,0.04,0.11,0.39,0.05,0.26,0.03,,0.94,0.94,0.94,0.94,0.97,0.98
P054,P_SpiceGirls_Wannabe,14,44,0,Wannabe,Spice Girls,NA,1996,Pop,NA,,3.84,4.41,13.52,1.10,3.49,13.71,15.06,0.00,5.61,24.14,47.86,26.75,44.08,5.19,,0.06,0.00,0.01,0.10,0.08,0.00,0.04,0.16,0.43,0.05,0.31,0.02,,0.95,0.95,0.95,0.95,0.97,0.98
P055,P_ArethaFranklin_YouMake,14,43,0,(You Make Me Feel Like) A Natural Woman,Aretha Franklin,NA,1968,Pop,Soul,,3.81,3.4,15.22,13.43,16.54,16.54,13.50,3.41,2.15,15.88,21.33,30.43,25.83,4.68,,0.09,0.10,0.14,0.15,0.10,0.04,0.01,0.13,0.14,0.11,0.13,0.02,,0.67,0.66,0.64,0.61,0.79,0.97
