,,,,,SONG INFO,,,,,,,,,GEMS-DIMENSIONS,,,,,,,,,GEMS-FACTORS,,,,the differentiation of the ratings (indicates how many different items per dimension where used),,,,,,,,,,,,,ICC based on all participants,,,,,
Code,MP3-Code,package,num. Of raters,follow up,Title,Artist,feat.,Year,Genre,Subgenre,Articles,liking,familiarity,wonder,transcendece,tenderness,nostalgia,peacefulness,sadness,tension,energy,joyful activation,sublimity,vitality,unease,,wond_diff,tran_diff,tend_diff,nost_diff,peac_diff,sadn_diff,tens_diff,ener_diff,joya_diff,sublimity_diff,vitality_diff,unease_diff,,ICC_SEL_47_BOTH,ICC_SEL_45_BOTH,ICC_INT_47_BOTH,ICC_INT_45_BOTH,ICC_DIM_BOTH,ICC_FAC_BOTH
H057,H_NotoriousBIG_Juicy,19,35,0,Juicy,The Notorious B.I.G.,NA,1994,Hip Hop,NA,,2.91,2.23,10.78,8.22,5.30,8.71,13.60,1.56,4.14,11.28,20.12,23.71,20.88,5.05,,0.06,0.05,0.03,0.06,0.10,0.02,0.03,0.07,0.12,0.06,0.10,0.03,,0.62,0.61,0.57,0.56,0.72,0.90
H058,H_NERDAndRihanna_Lemon,20,24,0,Lemon,N.E.R.D & Rihanna,NA,2017,Hip Hop,Hip-Hop/Rap,,2.58,1.75,5.52,1.94,1.98,3.13,1.24,0.00,12.77,15.43,18.63,9.29,21.40,11.77,,0.02,0.01,0.02,0.02,0.03,0.00,0.08,0.14,0.17,0.02,0.16,0.05,,0.70,0.72,0.63,0.65,0.83,0.65
H059,H_50Cent_CandySh,20,24,0,Candy Shop,50 Cent,Olivia,2005,Hip Hop,NA,,3.5,3.88,7.23,1.94,15.27,12.66,4.45,0.00,3.15,20.87,33.57,22.91,33.39,2.95,,0.05,0.01,0.10,0.06,0.03,0.00,0.02,0.16,0.28,0.05,0.22,0.01,,0.84,0.85,0.84,0.85,0.91,0.96
H060,H_2Pac_KeepYaH,20,24,0,Keep Ya Head Up,2Pac,NA,1993,Hip Hop,NA,,2.92,1.96,4.90,6.02,4.90,5.52,19.81,3.13,3.60,5.89,13.66,21.33,17.36,5.72,,0.04,0.05,0.03,0.04,0.17,0.03,0.03,0.06,0.08,0.07,0.07,0.03,,0.65,0.66,0.62,0.62,0.66,0.81
H061,H_PrinzPi_Gibtdem,21,24,0,Gibt dem Affen Zucker,Prinz Pi,NA,2008,Hip Hop,NA,,2.17,1.13,5.88,1.90,0.00,0.00,2.79,0.00,16.29,14.64,18.63,7.15,19.04,14.42,,0.04,0.01,0.00,0.00,0.03,0.00,0.17,0.11,0.19,0.02,0.16,0.10,,0.80,0.80,0.79,0.79,0.86,0.55
H062,H_GetoBoys_MindPla,21,23,1,Mind Playing Tricks On Me,Geto Boys,NA,1991,Hip Hop,NA,,2.17,1.17,8.41,4.69,0.00,1.28,5.30,0.73,19.64,7.44,11.37,11.75,11.37,17.62,,0.06,0.02,0.00,0.01,0.05,0.01,0.18,0.09,0.12,0.03,0.10,0.12,,0.60,0.59,0.51,0.53,0.76,-0.41
H063,H_Nas_IfIRule,21,23,0,If I Ruled The World (Imagine That),NAS,NA,1996,Hip Hop,NA,,2.65,1.52,7.63,11.36,1.55,4.69,9.66,0.00,8.60,14.57,17.40,17.45,18.21,7.87,,0.04,0.05,0.02,0.03,0.09,0.00,0.08,0.10,0.17,0.05,0.14,0.05,,0.60,0.60,0.63,0.63,0.71,0.62
H065,H_OutKast_MsJacks,22,20,0,Ms. Jackson,OutKast,NA,2000,Hip Hop,NA,,3.15,3.3,14.37,3.35,1.23,22.09,2.43,4.23,6.84,9.15,24.52,26.88,27.53,8.07,,0.08,0.02,0.01,0.14,0.03,0.03,0.06,0.06,0.20,0.05,0.14,0.05,,0.68,0.69,0.68,0.69,0.81,0.86
H066,H_KendrickLamar_i,22,19,0,i,Kendrick Lamar,NA,2015,Hip Hop,NA,,2.42,1.63,4.42,4.05,1.11,0.00,2.15,0.00,14.25,9.28,17.99,7.66,19.37,12.89,,0.04,0.04,0.01,0.00,0.01,0.00,0.14,0.07,0.20,0.02,0.14,0.09,,0.69,0.70,0.62,0.64,0.78,0.45
H067,H_KanyeWest_GoldDig,23,34,0,Gold Digger,Kanye West,Jamie Foxx,2005,Hip Hop,NA,,3.76,4.12,14.46,2.60,3.46,14.93,7.06,0.00,5.93,22.45,41.97,20.98,37.69,5.48,,0.05,0.02,0.02,0.09,0.05,0.00,0.05,0.13,0.38,0.04,0.27,0.03,,0.92,0.92,0.92,0.92,0.95,0.95
H068,H_MaxHerre_1SteLie,23,34,0,1Ste Liebe,Max Herre,NA,2004,Hip Hop,NA,,2.32,1.18,4.51,3.43,7.96,8.71,12.27,0.00,11.04,0.60,12.99,17.22,12.31,10.07,,0.03,0.02,0.05,0.06,0.08,0.00,0.09,0.01,0.09,0.05,0.05,0.06,,0.74,0.34,0.73,0.29,0.73,0.21
H069,H_Future_MaskOff,23,34,0,Mask Off,Future,NA,2017,Hip Hop,Hip-Hop/Rap,,2.68,2.74,10.72,3.11,3.30,6.93,3.42,1.75,12.13,16.74,20.98,15.52,21.11,12.40,,0.06,0.02,0.04,0.06,0.05,0.02,0.08,0.14,0.19,0.05,0.17,0.06,,0.62,0.63,0.67,0.68,0.82,0.39
H070,H_IceCube_ItWasAG,23,34,0,It Was A Good Day,Ice Cube,NA,1992,Hip Hop,NA,,2.38,1.65,3.11,1.94,2.58,9.09,9.70,0.00,12.19,6.00,12.83,16.28,14.94,11.09,,0.01,0.01,0.02,0.07,0.08,0.00,0.09,0.04,0.10,0.04,0.07,0.06,,0.77,0.68,0.75,0.62,0.70,-0.50
H073,H_eRRdeKa_Edoppel,24,43,0,EdoppelR,eRRdeKa,NA,2012,Hip Hop,NA,,2.4,1.4,5.14,2.73,0.00,2.37,7.31,0.90,11.34,7.67,15.93,10.34,16.73,10.43,,0.02,0.01,0.00,0.02,0.06,0.01,0.11,0.04,0.16,0.02,0.10,0.07,,0.78,0.77,0.72,0.70,0.85,0.48
