,,,Songinformation,,,,,,GEMS-Dimensionen,,,,,,,,,GEMS-Faktoren,,,,Differenziertheit bei der Bewertung der Songs,,,,,,,,,,,,,,"ICC für Rater*innen, welche per Mail gewonnen wurden",,,,,,"ICC für Rater*innen, welche durch Prolific gewonnen wurden",,,,,,ICC über alle rater*innen hinweg,,,,,
Code,package,Anzahl der Rater*innen,Title,Artist,Featuring,Erscheinungsjahr,Genre,Subgenre,wonder,transcendece,tenderness,nostalgia,peacefulness,sadness,tension,energy,joyful activation,sublimity,vitality,unease,,wond_diff,tran_diff,tend_diff,nost_diff,peac_diff,sadn_diff,tens_diff,ener_diff,joya_diff,sublimity_diff,vitality_diff,unease_diff,mittlere Bekanntheit des Songs bie den Ratern,,ICC_SEL_47_MAIL,ICC_SEL_45_MAIL,ICC_INT_47_MAIL,ICC_INT_45_MAIL,ICC_DIM_MAIL,ICC_FAC_MAIL,ICC_SEL_47_PROLIFIC,ICC_SEL_45_PROLIFIC,ICC_INT_47_PROLIFIC,ICC_INT_45_PROLIFIC,ICC_DIM_PROLIFIC,ICC_FAC_PROLIFIC,ICC_SEL_47_BOTH,ICC_SEL_45_BOTH,ICC_INT_47_BOTH,ICC_INT_45_BOTH,ICC_DIM_BOTH,ICC_FAC_BOTH
K050,14,43,Sonata 2 pianos percussion,Bartok,NA,1937,Klassik,Expressionismus,13.78,13.98,2.36,3.72,6.72,0.00,27.35,9.82,12.12,21.20,14.23,24.22,,0.09,0.09,0.01,0.02,0.03,0.00,0.29,0.08,0.09,0.05,0.09,0.18,1.37,,0.85,0.85,0.81,0.82,0.94,0.89,0.30,0.30,0.27,0.28,0.29,0.32,0.83,0.84,0.78,0.78,0.91,0.64
K051,14,43,Fantasie in C-Dur,Schumann,NA,1839,Klassik,Romantik,15.50,16.30,11.49,22.83,21.18,3.86,4.62,5.94,10.23,30.44,12.18,7.24,,0.12,0.11,0.11,0.19,0.19,0.05,0.04,0.03,0.07,0.14,0.05,0.05,1.81,,0.70,0.71,0.71,0.72,0.84,0.92,0.36,0.35,0.40,0.39,0.64,0.93,0.70,0.70,0.70,0.70,0.84,0.96
K052,15,30,Kinderszenen,Schumann,NA,1838,Klassik,Romantik,8.85,6.89,5.27,4.60,20.19,0.00,8.96,7.20,20.13,23.29,18.94,8.23,,0.05,0.05,0.05,0.04,0.13,0.00,0.09,0.05,0.16,0.06,0.11,0.05,1.40,,0.39,0.27,0.49,0.30,0.75,0.49,0.33,0.35,0.30,0.34,0.63,0.84,0.51,0.42,0.58,0.50,0.82,0.85
K053,15,30,Norwegische Tänze,Grieg,NA,1881,Klassik,Romantik,18.48,18.51,2.16,1.56,4.74,0.69,19.45,29.56,26.69,23.38,33.37,18.23,,0.11,0.12,0.01,0.02,0.03,0.01,0.19,0.27,0.20,0.06,0.23,0.13,1.57,,0.70,0.70,0.69,0.69,0.86,0.44,0.58,0.59,0.55,0.56,0.86,0.73,0.77,0.77,0.74,0.75,0.93,0.82
K054,15,30,Études Symphoniques,Schumann,NA,1837,Klassik,Romantik,16.99,16.16,27.60,29.71,35.44,4.47,4.13,1.58,11.50,35.34,12.05,5.58,,0.13,0.10,0.27,0.26,0.37,0.06,0.05,0.01,0.08,0.22,0.05,0.05,1.47,,0.74,0.75,0.73,0.73,0.85,0.90,0.66,0.65,0.69,0.69,0.83,0.96,0.83,0.83,0.83,0.83,0.91,0.96
K055,16,25,"Konzert 2 Violinen, 2. Satz",J.S. Bach,NA,1730,Klassik,Barock,15.97,7.57,20.51,22.33,40.18,5.24,3.38,3.34,9.30,31.35,11.66,4.72,,0.13,0.07,0.24,0.23,0.42,0.09,0.03,0.03,0.06,0.21,0.05,0.06,1.40,,0.62,0.64,0.65,0.65,0.70,0.71,0.77,0.77,0.79,0.79,0.90,0.95,0.83,0.83,0.84,0.84,0.92,0.95
K056,16,25,25. Sinfonie (I. Allegro con brio),Mozart,NA,1773,Klassik,Klassik,18.32,16.76,3.93,13.50,7.39,2.13,11.25,20.48,32.90,21.53,30.82,11.87,,0.13,0.12,0.05,0.10,0.06,0.01,0.14,0.18,0.28,0.09,0.23,0.10,1.84,,0.58,0.58,0.57,0.57,0.68,-6.82,0.60,0.60,0.62,0.63,0.85,0.91,0.68,0.68,0.71,0.71,0.87,0.86
K057,16,25,"Sonate Nr. 8, 2. Satz",Beethoven,NA,1799,Klassik,Klassik,13.29,16.25,25.90,30.49,42.22,20.01,4.18,0.84,3.75,37.80,4.15,16.31,,0.11,0.15,0.21,0.36,0.41,0.24,0.02,0.01,0.03,0.23,0.02,0.11,2.44,,0.62,0.62,0.65,0.64,0.76,0.92,0.77,0.77,0.80,0.81,0.90,0.92,0.82,0.82,0.82,0.82,0.91,0.96
K058,17,29,Carmen (Habanera),Bizet,NA,1875,Klassik,Romantik,18.65,7.02,9.36,13.29,11.29,3.29,4.49,17.78,19.40,24.70,23.98,6.91,,0.15,0.08,0.08,0.13,0.10,0.05,0.03,0.14,0.18,0.11,0.16,0.04,3.17,,0.36,0.38,0.26,0.27,0.50,0.59,0.26,0.25,0.34,0.36,0.57,0.88,0.42,0.42,0.41,0.42,0.70,0.89
K059,17,29,Revolutionary Etude,Chopin,NA,1831,Klassik,Romantik,14.33,13.90,1.80,6.45,4.19,1.97,13.13,15.66,16.56,22.55,19.43,11.91,,0.10,0.09,0.01,0.07,0.04,0.05,0.15,0.14,0.12,0.07,0.13,0.11,1.62,,0.58,0.57,0.59,0.58,0.77,0.75,0.42,0.43,0.29,0.31,0.37,-1.84,0.63,0.63,0.59,0.60,0.76,0.68
K060,17,29,Spanish Rhapsody,Liszt,NA,1863,Klassik,Romantik,15.84,12.90,20.55,26.00,30.05,1.26,3.82,1.63,10.98,33.08,10.40,4.59,,0.14,0.09,0.19,0.24,0.31,0.01,0.04,0.01,0.10,0.19,0.06,0.03,1.66,,0.62,0.60,0.61,0.59,0.78,0.87,0.74,0.74,0.76,0.76,0.85,0.97,0.79,0.79,0.81,0.81,0.90,0.97
K061,18,37,"Sonate Nr. 2 für Klarinette, 1. Satz",Brahms,NA,1894,Klassik,Romantik,11.86,14.94,22.58,29.32,34.07,0.88,4.44,4.09,9.57,35.03,9.60,4.17,,0.10,0.08,0.16,0.26,0.34,0.03,0.07,0.04,0.06,0.18,0.05,0.05,1.30,,0.63,0.65,0.66,0.67,0.81,0.92,0.82,0.82,0.81,0.82,0.91,0.98,0.84,0.85,0.85,0.85,0.93,0.98
K062,18,37,Bilder einer Ausstellung,Mussorgsky,NA,1874,Klassik,Impressionismus,19.80,16.89,0.00,4.46,0.00,0.00,27.98,33.41,24.73,22.66,31.42,25.16,,0.12,0.10,0.00,0.02,0.00,0.00,0.26,0.28,0.18,0.06,0.22,0.16,1.32,,0.80,0.80,0.76,0.76,0.90,-1.83,0.77,0.77,0.77,0.77,0.92,0.59,0.88,0.87,0.87,0.86,0.95,0.50
K063,18,37,Arabesque No. 1,Debussy,NA,1891,Klassik,Impressionismus,15.65,21.12,28.94,33.15,44.04,3.35,1.27,1.09,7.99,38.90,7.28,3.79,,0.12,0.12,0.24,0.31,0.37,0.05,0.02,0.01,0.05,0.22,0.03,0.03,1.41,,0.80,0.79,0.81,0.81,0.91,0.97,0.83,0.83,0.83,0.83,0.94,0.98,0.89,0.89,0.90,0.89,0.96,0.99
K064,19,35,Preludes op. 11 no. 1,Skrjabin,NA,1896,Klassik,Impressionismus,17.03,13.71,17.60,22.26,23.20,8.58,1.13,5.73,9.39,31.58,12.10,7.02,,0.08,0.10,0.14,0.17,0.22,0.11,0.02,0.03,0.05,0.14,0.04,0.05,1.54,,0.57,0.57,0.53,0.53,0.67,0.88,0.62,0.61,0.56,0.55,0.73,0.94,0.73,0.73,0.68,0.68,0.84,0.96
K065,19,35,Slawischer Marsch,Tschaikowski,NA,1876,Klassik,Romantik,13.06,15.02,4.61,4.00,4.44,1.61,27.12,16.53,15.80,19.94,21.61,23.64,,0.07,0.09,0.02,0.03,0.02,0.03,0.27,0.14,0.09,0.05,0.11,0.18,1.80,,0.77,0.78,0.74,0.74,0.89,0.57,0.47,0.48,0.46,0.47,0.48,-1.57,0.81,0.81,0.78,0.78,0.87,-2.87
K066,19,35,der Troubadour,Verdi,NA,1851,Klassik,Romantik,12.46,12.97,5.70,3.04,13.42,0.00,6.25,16.89,21.01,24.55,25.70,5.82,,0.06,0.06,0.05,0.01,0.09,0.00,0.04,0.12,0.15,0.06,0.14,0.03,1.49,,0.61,0.57,0.60,0.60,0.80,0.94,0.45,0.44,0.43,0.41,0.72,0.85,0.67,0.62,0.63,0.60,0.85,0.95
K067,20,24,Symphonie espagnole,Lalo,NA,1874,Klassik,Romantik,20.84,16.72,7.27,9.88,14.65,0.00,4.87,13.35,27.97,25.99,25.76,4.54,,0.15,0.12,0.04,0.07,0.10,0.00,0.03,0.08,0.22,0.10,0.16,0.02,1.92,,0.45,0.43,0.51,0.49,0.73,0.90,0.50,0.50,0.47,0.47,0.72,0.85,0.61,0.60,0.62,0.62,0.86,0.93
K068,20,24,Requiem (Dies Irae),Verdi,NA,1874,Klassik,Romantik,10.72,20.72,0.43,1.02,2.25,1.62,23.80,31.66,18.67,22.96,29.79,21.88,,0.10,0.10,0.01,0.01,0.02,0.03,0.20,0.31,0.10,0.05,0.19,0.14,2.42,,0.71,0.71,0.65,0.64,0.77,-0.33,0.58,0.57,0.60,0.59,0.85,-0.06,0.79,0.78,0.77,0.76,0.90,-0.03
K069,20,24,"Violinensonate Nr. 5 ""Frühlingssonate""",Beethoven,NA,1802,Klassik,Klassik,18.60,16.22,12.13,19.30,23.86,3.53,3.17,1.58,13.68,28.51,13.30,5.74,,0.11,0.10,0.15,0.14,0.21,0.03,0.03,0.02,0.10,0.14,0.06,0.03,2.21,,0.27,0.30,0.25,0.25,0.47,0.58,0.49,0.47,0.53,0.52,0.77,0.90,0.56,0.57,0.56,0.55,0.79,0.91
K070,21,24,Sinfonie Nr. 9,Beethoven,NA,1824,Klassik,Klassik,18.20,12.36,13.00,17.91,29.31,1.08,4.64,1.55,8.39,28.51,9.03,4.18,,0.15,0.08,0.10,0.18,0.33,0.01,0.04,0.01,0.06,0.16,0.04,0.03,1.63,,0.03,0.06,-0.15,-0.13,-1.11,0.52,0.80,0.81,0.75,0.77,0.88,0.93,0.78,0.78,0.73,0.74,0.86,0.94
K071,21,23,Symphony n°11 in g Minor op. 103. Second movement,Shostakovich,NA,1957,Klassik,Moderne,9.85,11.59,0.00,3.42,3.34,0.00,34.66,18.31,8.59,20.90,19.14,31.05,,0.05,0.07,0.00,0.02,0.03,0.00,0.31,0.18,0.09,0.04,0.13,0.20,1.22,,0.47,0.46,0.40,0.39,0.72,0.16,0.71,0.72,0.68,0.69,0.88,0.47,0.76,0.76,0.73,0.73,0.91,0.64
K072,21,23,Appalachian Suite,Copland,NA,1944,Klassik,Moderne,19.03,13.53,11.87,21.34,29.51,5.04,1.98,5.24,14.03,30.70,12.63,6.11,,0.15,0.09,0.10,0.16,0.29,0.03,0.03,0.03,0.16,0.15,0.10,0.03,2.04,,0.63,0.65,0.59,0.63,0.68,0.75,0.60,0.61,0.55,0.56,0.80,0.93,0.70,0.70,0.67,0.67,0.83,0.94
K073,22,19,Marsch (Nussknacker),Tschaikowski,NA,1892,Klassik,Romantik,14.92,6.93,4.35,18.95,12.76,0.74,0.00,24.25,24.87,29.32,35.95,0.62,,0.10,0.07,0.04,0.16,0.07,0.02,0.00,0.16,0.19,0.09,0.18,0.01,3.53,,0.49,0.48,0.48,0.47,0.67,0.89,0.55,0.53,0.51,0.49,0.77,0.98,0.65,0.64,0.60,0.59,0.82,0.98
K074,22,20,Die 4 Jahreszeiten (Winter),Vivaldi,NA,1725,Klassik,Barock,15.99,13.99,4.11,7.81,5.07,2.03,14.71,17.84,17.73,22.44,22.61,14.27,,0.08,0.11,0.03,0.06,0.03,0.02,0.11,0.13,0.13,0.07,0.13,0.08,2.50,,-0.02,-0.04,-0.05,-0.06,-0.60,-0.14,0.51,0.54,0.52,0.55,0.68,0.39,0.45,0.47,0.39,0.42,0.61,0.04
K075,22,20,Paganini Variations No. 18,Rachmaninow,NA,1934,Klassik,Romantik,20.82,8.28,18.92,25.40,41.46,2.63,2.31,4.08,16.51,33.49,17.38,4.34,,0.11,0.08,0.13,0.25,0.43,0.02,0.04,0.02,0.07,0.19,0.05,0.03,1.40,,0.43,0.42,0.34,0.33,0.45,0.59,0.82,0.82,0.80,0.80,0.89,0.90,0.83,0.83,0.80,0.81,0.90,0.92
K076,23,34,Sinfonie Nr. 4,Brahms,NA,1885,Klassik,Romantik,16.90,22.00,16.25,20.25,21.83,5.00,7.29,9.59,10.48,31.14,13.13,10.23,,0.12,0.15,0.10,0.17,0.22,0.05,0.05,0.08,0.06,0.15,0.07,0.05,1.35,,0.52,0.50,0.39,0.36,0.29,0.65,0.46,0.46,0.45,0.46,0.69,0.93,0.59,0.58,0.57,0.56,0.72,0.92
K077,23,34,Prelude No. 16 in B-Moll,Chopin,NA,1839,Klassik,Romantik,11.40,12.43,2.67,5.18,3.95,0.37,27.93,17.91,20.03,17.86,21.11,25.12,,0.09,0.06,0.02,0.03,0.03,0.01,0.27,0.14,0.15,0.05,0.14,0.17,1.24,,0.65,0.67,0.46,0.49,0.85,0.73,0.57,0.58,0.59,0.59,0.78,-1.56,0.77,0.78,0.70,0.71,0.89,-0.08
K078,24,43,"Violinsonate, 4. Satz",Franck,NA,1886,Klassik,Romantik,13.26,8.84,12.77,18.87,29.70,8.03,3.07,3.57,9.33,31.66,10.76,8.91,,0.09,0.05,0.11,0.16,0.23,0.11,0.02,0.02,0.06,0.12,0.04,0.06,1.42,,0.57,0.57,0.53,0.53,0.82,0.95,0.67,0.68,0.66,0.68,0.82,0.84,0.73,0.73,0.71,0.71,0.88,0.96
K079,24,43,Dornröschen,Tschaikowski,NA,1890,Klassik,Romantik,11.32,10.46,1.02,4.87,4.98,0.00,13.72,35.34,21.85,15.12,34.28,12.45,,0.06,0.07,0.01,0.05,0.04,0.00,0.12,0.37,0.15,0.05,0.25,0.08,1.86,,0.81,0.81,0.77,0.77,0.90,0.89,0.79,0.80,0.81,0.81,0.91,0.89,0.89,0.89,0.88,0.88,0.95,0.95
K080,25,33,L'Estro Armonico (Concerto No. 9),Vivaldi,NA,1711,Klassik,Barock,16.68,20.22,13.48,15.24,27.84,0.57,5.46,7.57,23.18,32.62,23.59,4.84,,0.12,0.15,0.10,0.12,0.24,0.01,0.04,0.05,0.19,0.15,0.12,0.03,1.88,,0.67,0.67,0.65,0.64,0.82,0.96,0.61,0.62,0.60,0.60,0.73,0.87,0.74,0.73,0.72,0.71,0.86,0.96
K081,25,32,"3. Klavierkonzert, 3. Satz",Rachmaninow,NA,1909,Klassik,Romantik,11.40,10.82,0.00,4.90,2.44,0.63,23.51,17.22,16.87,18.98,21.91,21.09,,0.07,0.06,0.00,0.02,0.01,0.01,0.21,0.14,0.15,0.04,0.15,0.13,1.22,,0.65,0.66,0.58,0.59,0.82,-16.86,0.61,0.62,0.55,0.55,0.80,0.09,0.77,0.78,0.70,0.72,0.90,-2.98
K082,26,26,Var det en dröm?,Sibelius,NA,1902,Klassik,Romantik,16.57,16.02,10.31,10.93,12.23,13.14,11.63,6.43,5.89,22.18,8.32,16.89,,0.12,0.13,0.09,0.14,0.12,0.17,0.09,0.05,0.05,0.12,0.05,0.12,1.23,,0.20,0.25,0.13,0.18,-0.54,-0.12,0.19,0.10,-0.01,-0.09,-0.42,0.71,0.39,0.36,0.29,0.25,0.13,0.76
K083,26,26,"3. Klaviersonate, 4. Satz",Chopin,NA,1845,Klassik,Romantik,17.88,26.42,5.37,16.24,11.95,5.30,15.72,15.09,23.49,27.73,22.87,16.01,,0.14,0.21,0.05,0.19,0.12,0.09,0.15,0.12,0.17,0.14,0.14,0.13,1.39,,0.67,0.65,0.59,0.58,0.67,0.81,0.25,0.26,0.14,0.14,0.50,-4.56,0.59,0.57,0.50,0.49,0.73,0.62
K084,27,27,Violinkonzert,Brahms,NA,1879,Klassik,Romantik,15.69,17.81,19.39,22.20,24.58,2.31,7.61,3.53,9.59,29.13,9.40,7.91,,0.10,0.12,0.15,0.16,0.26,0.04,0.07,0.03,0.06,0.15,0.05,0.06,1.11,,0.50,0.51,0.45,0.47,0.79,0.90,0.47,0.48,0.45,0.46,0.64,0.84,0.64,0.65,0.61,0.62,0.82,0.94
K085,27,26,8. Sinfonie (Finale),Bruckner,NA,1887,Klassik,Romantik,15.27,20.20,1.02,0.00,0.00,1.69,12.56,41.95,17.39,22.08,34.96,11.86,,0.11,0.14,0.01,0.00,0.00,0.01,0.12,0.46,0.10,0.06,0.27,0.08,1.46,,0.84,0.84,0.83,0.84,0.93,0.90,0.76,0.77,0.77,0.78,0.90,0.86,0.89,0.89,0.90,0.90,0.96,0.94
K086,28,30,La Traviata,Verdi,NA,1853,Klassik,Romantik,17.73,10.18,19.24,22.63,28.37,1.58,3.75,7.17,10.99,31.82,12.42,4.81,,0.15,0.08,0.15,0.26,0.27,0.03,0.03,0.06,0.09,0.17,0.08,0.03,1.70,,0.52,0.53,0.52,0.53,0.71,0.92,0.70,0.70,0.73,0.74,0.88,0.98,0.72,0.72,0.73,0.74,0.88,0.97
K088,29,37,Klaviersonate No. 7,Prokofjew,NA,1943,Klassik,Moderne,4.65,8.55,0.00,2.69,4.84,0.00,24.23,8.92,13.19,11.06,13.88,21.57,,0.04,0.05,0.00,0.02,0.03,0.00,0.25,0.05,0.10,0.03,0.08,0.16,1.38,,0.72,0.73,0.63,0.67,0.83,0.57,0.71,0.72,0.72,0.74,0.77,-0.11,0.79,0.80,0.76,0.78,0.90,0.60
K089,29,37,Italia,Casella,NA,1909,Klassik,Moderne,9.21,8.14,2.85,4.49,14.48,0.00,5.49,19.34,21.16,20.04,25.25,5.13,,0.07,0.05,0.02,0.03,0.11,0.00,0.04,0.15,0.19,0.06,0.17,0.02,2.08,,0.51,0.52,0.51,0.51,0.72,0.63,0.62,0.63,0.61,0.62,0.82,0.93,0.69,0.70,0.67,0.68,0.88,0.93
K090,29,37,4. Sinfonie,Tschaikowski,NA,1878,Klassik,Romantik,6.34,11.59,2.51,1.32,4.82,2.22,12.07,25.45,6.47,15.83,22.56,12.09,,0.05,0.08,0.01,0.01,0.03,0.02,0.09,0.23,0.05,0.04,0.13,0.06,1.73,,0.58,0.59,0.57,0.59,0.81,0.61,0.68,0.68,0.68,0.69,0.75,0.17,0.79,0.79,0.79,0.80,0.88,0.65
K091,30,25,"Chit-Chat-Polka, op. 214","Strauss, J.",NA,1858,Klassik,Romantik,10.78,5.59,2.95,5.80,11.29,0.00,10.40,20.03,29.48,18.45,27.95,9.40,,0.09,0.05,0.02,0.05,0.06,0.00,0.07,0.17,0.26,0.06,0.22,0.05,2.24,,0.67,0.66,0.72,0.71,0.89,0.88,0.55,0.56,0.43,0.44,0.68,0.43,0.75,0.75,0.74,0.73,0.87,0.83
K092,30,25,Preludes op. 11 no. 15,Skrjabin,NA,1896,Klassik,Impressionismus,13.44,12.19,12.69,19.72,34.74,4.56,0.84,1.93,6.51,30.06,7.72,3.96,,0.10,0.09,0.09,0.22,0.34,0.09,0.02,0.02,0.03,0.16,0.02,0.05,1.32,,0.61,0.60,0.59,0.58,0.86,0.86,0.73,0.74,0.73,0.74,0.86,0.94,0.81,0.81,0.80,0.81,0.92,0.96
K093,31,20,Die 4 Jahreszeiten (Frühling),Vivaldi,NA,1725,Klassik,Barock,12.66,9.93,4.22,18.79,12.24,1.43,6.82,18.26,17.16,21.75,25.08,6.76,,0.11,0.08,0.04,0.19,0.10,0.03,0.06,0.14,0.13,0.10,0.13,0.05,3.40,,0.20,0.18,0.19,0.18,-0.88,0.66,0.29,0.25,0.27,0.26,0.48,0.72,0.41,0.40,0.42,0.42,0.59,0.83
K094,31,20,"6. Sinfonie, 1. Satz",Mahler,NA,1906,Klassik,Romantik,17.08,11.32,17.80,28.67,35.69,1.03,6.87,0.00,7.94,33.65,7.39,6.23,,0.14,0.09,0.15,0.23,0.31,0.03,0.06,0.00,0.05,0.18,0.03,0.05,1.35,,0.46,0.49,0.49,0.52,0.81,0.92,0.68,0.69,0.74,0.76,0.88,0.93,0.74,0.75,0.79,0.80,0.90,0.96
K096,32,23,Preludes op. 32 no. 5,Rachmaninow,NA,1910,Klassik,Romantik,14.91,8.92,20.78,23.88,39.56,2.67,0.00,0.00,7.12,32.52,6.52,2.25,,0.11,0.05,0.14,0.20,0.41,0.03,0.00,0.00,0.04,0.17,0.02,0.01,1.09,,0.69,0.70,0.65,0.65,0.81,0.85,0.82,0.82,0.81,0.82,0.90,0.97,0.87,0.88,0.86,0.86,0.93,0.97
K097,32,23,Die 4 Jahreszeiten (Sommer),Vivaldi,NA,1725,Klassik,Barock,14.78,16.72,12.65,13.84,20.85,8.45,5.98,4.10,6.16,26.63,6.03,10.80,,0.09,0.10,0.10,0.12,0.22,0.10,0.04,0.02,0.03,0.12,0.02,0.07,1.78,,0.09,0.09,-0.02,-0.02,0.03,0.74,0.58,0.59,0.56,0.57,0.56,0.85,0.60,0.58,0.55,0.55,0.59,0.91
K098,33,27,Pomp and Circumstance (1. Marsch),Elgar,NA,1902,Klassik,Romantik,13.84,12.71,2.16,2.13,3.09,0.00,11.10,25.00,24.69,20.91,31.68,10.20,,0.12,0.07,0.02,0.02,0.02,0.00,0.09,0.28,0.18,0.06,0.23,0.06,1.78,,0.63,0.62,0.65,0.64,0.82,0.83,0.62,0.62,0.58,0.57,0.74,0.86,0.78,0.77,0.78,0.78,0.89,0.92
K099,33,27,"Gran Partita, 3. Satz",Mozart,NA,1781,Klassik,Klassik,15.42,8.29,16.16,13.00,29.82,5.05,5.47,1.91,2.79,28.06,4.34,8.46,,0.09,0.06,0.12,0.11,0.28,0.09,0.05,0.01,0.01,0.13,0.01,0.07,1.41,,0.61,0.58,0.50,0.48,0.69,0.85,0.69,0.70,0.71,0.72,0.79,0.91,0.79,0.78,0.76,0.76,0.87,0.94
K101,34,32,"9. Sinfonie, 4. Satz",Dvorák,NA,1893,Klassik,Romantik,16.33,14.27,0.00,9.02,7.48,3.10,12.03,29.53,14.33,20.84,27.92,11.33,,0.10,0.10,0.00,0.06,0.06,0.04,0.12,0.33,0.11,0.07,0.21,0.09,1.88,,0.77,0.77,0.78,0.79,0.78,0.70,0.65,0.66,0.66,0.68,0.80,0.84,0.82,0.82,0.83,0.84,0.89,0.90
K102,34,33,Boléro,Ravel,NA,1928,Klassik,Impressionismus,5.61,10.37,7.47,8.20,10.94,0.00,5.26,15.83,12.67,17.04,18.54,4.87,,0.05,0.07,0.04,0.07,0.10,0.00,0.04,0.13,0.12,0.06,0.12,0.02,2.49,,0.46,0.46,0.36,0.36,0.45,0.65,0.56,0.57,0.40,0.42,0.45,0.87,0.59,0.59,0.50,0.49,0.68,0.88
K103,34,33,"Quartett, op. 3",Berg,NA,1920,Klassik,Moderne/freie Tonalität,8.83,10.58,3.58,2.33,2.78,1.10,34.79,3.40,7.74,13.22,8.76,30.17,,0.06,0.07,0.02,0.02,0.02,0.03,0.36,0.02,0.06,0.04,0.04,0.24,1.30,,0.82,0.83,0.85,0.85,0.90,0.87,0.69,0.69,0.69,0.70,0.90,0.86,0.87,0.87,0.88,0.89,0.95,0.93
K106,35,31,"Don Giovanni, ""La ci darem la mano""",Mozart,NA,1787,Klassik,Klassik,6.13,9.11,19.87,13.83,20.40,5.16,8.73,1.22,6.76,23.94,7.33,12.18,,0.04,0.04,0.14,0.10,0.19,0.03,0.10,0.01,0.05,0.10,0.03,0.07,1.36,,0.52,0.35,0.50,0.28,0.55,0.61,0.51,0.49,0.54,0.55,0.62,0.71,0.68,0.64,0.69,0.67,0.76,0.83
K107,35,31,O Fortuna (Carmina Burana),Carl Orff,NA,1937,Klassik,Moderne,15.48,20.47,4.47,10.49,5.65,0.00,7.89,47.34,26.81,23.87,42.42,7.28,,0.11,0.14,0.03,0.07,0.03,0.00,0.09,0.43,0.17,0.08,0.29,0.06,3.65,,0.78,0.78,0.83,0.82,0.94,0.93,0.76,0.76,0.78,0.78,0.92,0.95,0.86,0.86,0.89,0.89,0.95,0.97
K108,35,31,"Rosenkavalier, Act 1","Strauss, R.",NA,1911,Klassik,Romantik,14.40,13.95,13.88,16.11,18.35,9.09,9.31,2.50,1.17,25.73,2.25,15.60,,0.08,0.09,0.11,0.11,0.17,0.11,0.08,0.02,0.01,0.11,0.01,0.09,1.29,,0.49,0.24,0.55,0.19,0.67,0.79,0.60,0.59,0.52,0.50,0.73,0.92,0.66,0.59,0.60,0.49,0.70,0.93
K109,36,27,Die 4 Jahreszeiten (Herbst),Vivaldi,NA,1725,Klassik,Barock,16.38,10.55,5.85,11.79,15.56,3.24,6.34,7.44,12.83,21.49,14.05,8.56,,0.14,0.10,0.04,0.08,0.11,0.03,0.07,0.06,0.14,0.10,0.10,0.06,1.85,,0.19,0.17,0.18,0.05,0.07,0.66,0.39,0.37,0.38,0.33,0.37,0.74,0.41,0.34,0.46,0.30,0.58,0.81
K110,36,27,Des pas sur la neige,Debussy,NA,1910,Klassik,Impressionismus,13.69,9.63,11.03,24.09,22.89,15.17,1.77,0.00,6.03,24.58,5.64,11.70,,0.09,0.11,0.12,0.27,0.22,0.17,0.04,0.00,0.03,0.15,0.01,0.09,1.26,,0.66,0.67,0.57,0.60,0.81,0.84,0.55,0.49,0.48,0.43,0.69,0.82,0.73,0.73,0.70,0.70,0.86,0.91
K111,36,27,Messa di Gloria,Puccini,NA,1880,Klassik,Romantik,13.29,8.93,5.60,5.10,9.25,0.00,2.91,13.21,9.78,16.57,14.53,2.59,,0.09,0.11,0.04,0.06,0.07,0.00,0.04,0.14,0.09,0.08,0.11,0.03,1.33,,0.49,0.51,0.33,0.37,0.40,0.69,0.55,0.44,0.58,0.45,0.44,0.79,0.60,0.55,0.57,0.44,0.67,0.87
K112,37,29,Brandenburgische Konzerte,Bach,NA,1721,Klassik,Klassik,12.33,18.21,8.26,9.38,11.53,0.44,10.49,19.34,17.07,24.84,23.11,10.02,,0.09,0.11,0.05,0.07,0.08,0.01,0.08,0.15,0.13,0.08,0.14,0.05,1.66,,0.14,0.15,0.17,0.18,0.14,0.61,0.32,0.32,0.38,0.39,0.67,0.62,0.39,0.37,0.40,0.39,0.64,0.79
K113,37,29,Waltz Op.69 No.2,Chopin,NA,1852,Klassik,Romantik,13.78,8.30,16.70,18.30,30.39,0.00,5.09,3.87,14.76,32.46,15.62,4.77,,0.08,0.05,0.11,0.11,0.26,0.00,0.03,0.03,0.10,0.12,0.07,0.02,1.45,,0.63,0.62,0.59,0.58,0.59,0.60,0.63,0.64,0.59,0.60,0.82,0.94,0.73,0.73,0.71,0.72,0.86,0.94
K114,37,29,Sinfonie Nr. 7,Beethoven,NA,1812,Klassik,Klassik,9.37,11.99,11.99,19.57,33.13,8.41,2.96,6.39,4.22,31.08,6.60,8.56,,0.05,0.06,0.07,0.11,0.27,0.09,0.01,0.04,0.02,0.11,0.03,0.04,1.45,,0.78,0.80,0.81,0.83,0.91,0.99,0.67,0.59,0.60,0.47,0.65,0.84,0.79,0.76,0.76,0.73,0.87,0.94
P001,1,13,Feel good Inc.,Gorillaz,NA,2005,Pop,NA,37.21,15.21,15.52,10.96,17.74,0.00,4.43,14.22,27.93,35.47,26.59,4.15,,0.21,0.06,0.11,0.10,0.11,0.00,0.03,0.08,0.14,0.12,0.11,0.02,3.08,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.58,0.56,0.64,0.63,0.78,0.92,0.58,0.56,0.64,0.63,0.78,0.92
