,,,Songinformation,,,,,,GEMS-Dimensionen,,,,,,,,,GEMS-Faktoren,,,,Differenziertheit bei der Bewertung der Songs,,,,,,,,,,,,,,"ICC für Rater*innen, welche per Mail gewonnen wurden",,,,,,"ICC für Rater*innen, welche durch Prolific gewonnen wurden",,,,,,ICC über alle rater*innen hinweg,,,,,
Code,package,Anzahl der Rater*innen,Title,Artist,Featuring,Erscheinungsjahr,Genre,Subgenre,wonder,transcendece,tenderness,nostalgia,peacefulness,sadness,tension,energy,joyful activation,sublimity,vitality,unease,,wond_diff,tran_diff,tend_diff,nost_diff,peac_diff,sadn_diff,tens_diff,ener_diff,joya_diff,sublimity_diff,vitality_diff,unease_diff,mittlere Bekanntheit des Songs bie den Ratern,,ICC_SEL_47_MAIL,ICC_SEL_45_MAIL,ICC_INT_47_MAIL,ICC_INT_45_MAIL,ICC_DIM_MAIL,ICC_FAC_MAIL,ICC_SEL_47_PROLIFIC,ICC_SEL_45_PROLIFIC,ICC_INT_47_PROLIFIC,ICC_INT_45_PROLIFIC,ICC_DIM_PROLIFIC,ICC_FAC_PROLIFIC,ICC_SEL_47_BOTH,ICC_SEL_45_BOTH,ICC_INT_47_BOTH,ICC_INT_45_BOTH,ICC_DIM_BOTH,ICC_FAC_BOTH
H030,10,29,You Got Me,The Roots,Erykah Badu,1999,Hip Hop,NA,13.37,6.01,13.37,17.76,14.37,10.14,5.38,7.31,5.36,26.40,9.56,13.42,,0.10,0.04,0.10,0.15,0.15,0.07,0.05,0.06,0.05,0.10,0.05,0.06,2.31,,0.32,0.28,0.26,0.24,0.13,0.38,0.32,0.32,0.33,0.33,0.40,0.87,0.46,0.43,0.45,0.42,0.52,0.89
H031,11,28,Touch The Sky,Kanye West,NA,2005,Hip Hop,NA,9.76,5.69,6.00,11.27,10.48,0.52,4.14,14.62,29.14,19.81,30.27,4.20,,0.04,0.02,0.02,0.07,0.08,0.01,0.04,0.09,0.24,0.04,0.18,0.03,2.96,,0.65,0.43,0.48,0.34,0.53,0.35,0.69,0.69,0.67,0.68,0.81,0.95,0.73,0.71,0.68,0.68,0.83,0.93
H032,11,28,Let's Go,Pharoahe Monch,NA,2007,Hip Hop,NA,5.10,7.72,0.00,2.55,8.46,0.00,8.93,13.40,16.68,10.80,18.90,8.09,,0.04,0.04,0.00,0.02,0.04,0.00,0.09,0.09,0.11,0.03,0.10,0.05,1.46,,0.72,0.55,0.64,0.39,0.65,-0.10,0.09,0.15,0.08,0.13,0.46,0.62,0.57,0.44,0.47,0.38,0.70,0.52
H033,11,28,Mockingbird,Eminem,NA,2004,Hip Hop,NA,14.65,5.56,9.60,22.60,7.93,26.58,10.42,5.83,7.61,26.18,12.32,25.57,,0.08,0.03,0.07,0.21,0.08,0.24,0.06,0.03,0.05,0.09,0.04,0.13,3.29,,0.58,0.59,0.45,0.47,0.67,0.62,0.61,0.62,0.56,0.57,0.49,0.67,0.72,0.73,0.68,0.69,0.76,0.82
H034,12,27,Rap God,Eminem,NA,2013,Hip Hop,NA,18.78,14.83,6.10,9.07,4.96,3.09,17.40,21.32,23.83,27.43,27.86,16.25,,0.12,0.06,0.03,0.05,0.02,0.03,0.17,0.16,0.18,0.06,0.17,0.12,3.33,,0.57,0.57,0.44,0.45,0.42,-3.20,0.43,0.44,0.44,0.45,0.56,0.62,0.63,0.64,0.54,0.54,0.72,0.54
H035,12,27,A-N-N-A,Freundeskreis,NA,1997,Hip Hop,NA,3.52,6.57,12.49,13.05,17.81,8.92,8.48,0.00,3.63,24.45,3.39,13.67,,0.01,0.04,0.10,0.17,0.11,0.10,0.05,0.00,0.01,0.08,0.01,0.07,1.85,,0.70,0.68,0.58,0.55,0.68,0.84,0.49,0.30,0.48,0.22,0.52,0.78,0.73,0.64,0.68,0.52,0.64,0.88
H036,12,27,Lose Yourself,Eminem,NA,2002,Hip Hop,NA,17.40,10.07,7.78,17.54,10.52,3.70,10.22,24.18,31.21,25.07,33.03,11.62,,0.08,0.07,0.04,0.11,0.07,0.04,0.10,0.22,0.24,0.07,0.23,0.08,4.04,,0.50,0.50,0.40,0.41,-0.06,-0.91,0.43,0.41,0.49,0.48,0.78,0.88,0.67,0.66,0.65,0.65,0.77,0.84
H037,13,31,Antidote,Travis Scott,NA,2015,Hip Hop,Trap,7.13,6.66,2.62,4.90,6.70,0.77,10.80,14.43,26.95,17.86,29.96,9.92,,0.03,0.03,0.02,0.03,0.04,0.01,0.10,0.10,0.20,0.03,0.16,0.07,2.42,,0.61,0.64,0.56,0.61,0.76,0.35,0.43,0.44,0.40,0.41,0.76,0.90,0.67,0.69,0.65,0.68,0.85,0.86
H038,13,31,Cartoons & Cereal,Kendrick Lamar,Gunplay,2012,Hip Hop,Hip-Hop/Rap,7.92,10.46,0.00,3.23,2.81,3.01,22.04,10.32,18.60,16.17,19.20,22.44,,0.06,0.05,0.00,0.02,0.01,0.02,0.19,0.08,0.14,0.03,0.11,0.13,1.65,,0.65,0.68,0.63,0.66,0.85,0.62,0.56,0.58,0.44,0.46,0.57,-4.82,0.69,0.71,0.64,0.66,0.84,-0.65
H039,13,31,Runaway,Kanye West,NA,2010,Hip Hop,NA,8.32,1.64,7.10,6.76,8.67,5.16,14.91,3.95,16.82,20.87,15.56,17.65,,0.04,0.01,0.04,0.06,0.08,0.04,0.12,0.03,0.11,0.04,0.07,0.09,1.84,,0.63,0.45,0.69,0.49,0.31,-0.05,0.22,0.26,0.24,0.27,0.30,-0.14,0.58,0.53,0.59,0.50,0.59,-1.36
